chain_id,accounts,hops,total_value,time_span_hours,velocity
007e5f11-e3d3-4cf5-af09-c729377551e5,ACC000105 -> ACC000051 -> ACC000145 -> ACC000097 -> ACC000028,4,93754202.79814062,1637.47,57255.48
4ee55cba-10e4-4942-8f78-aa00214992ec,ACC000105 -> ACC000051 -> ACC000145 -> ACC000032 -> ACC000028,4,87400041.53045544,1581.66,55258.28
4507b58f-b792-4890-98aa-97c17328898b,ACC000105 -> ACC000051 -> ACC000145 -> ACC000198 -> ACC000028,4,106036809.86029449,1670.11,63490.81
3883e409-2183-4134-a07c-6d07353e3225,ACC000105 -> ACC000051 -> ACC000145 -> ACC000100 -> ACC000028,4,87889132.72855085,1888.36,46542.6
6c280b04-e8db-4a92-9cd9-444746fdb71e,ACC000105 -> ACC000051 -> ACC000145 -> ACC000042 -> ACC000028,4,129106796.48620096,1581.66,81627.19
82a53cfa-9221-45af-894d-08097a82558f,ACC000105 -> ACC000051 -> ACC000145 -> ACC000060 -> ACC000028,4,77335362.06256996,1581.66,48894.93
90e48894-2f97-471c-8ee9-69632d8ab84e,ACC000105 -> ACC000051 -> ACC000145 -> ACC000148 -> ACC000028,4,120326833.553134,1581.66,76076.1
758b6088-6ce8-4840-bd06-233742ac830f,ACC000105 -> ACC000051 -> ACC000145 -> ACC000013 -> ACC000028,4,97919149.386474,1858.83,52677.78
e9d92e91-9122-4e83-9c66-59913628cad8,ACC000105 -> ACC000051 -> ACC000145 -> ACC000172 -> ACC000028,4,65110282.16716726,1915.47,33991.84
0deb636f-4457-429f-8966-3097fa95cb1b,ACC000105 -> ACC000051 -> ACC000145 -> ACC000007 -> ACC000028,4,74039799.65722348,1755.56,42174.48
4fdb35d4-09be-43fe-81de-8cb16d5dd136,ACC000105 -> ACC000051 -> ACC000145 -> ACC000152 -> ACC000028,4,102179100.71872452,1581.66,64602.27
2176fce7-5814-4414-b964-eb1cb040faae,ACC000105 -> ACC000051 -> ACC000145 -> ACC000103 -> ACC000028,4,115822965.16672546,1745.71,66347.23
de89205d-82bd-4edb-acee-a52a734fcd4c,ACC000105 -> ACC000051 -> ACC000145 -> ACC000088 -> ACC000028,4,84720154.1203069,1581.66,53563.93
8b8a6f96-4a8e-4258-9375-4aede71fcae9,ACC000105 -> ACC000051 -> ACC000145 -> ACC000111 -> ACC000028,4,83787651.57384083,1581.66,52974.36
c3a8e96a-dca7-47d7-a628-7994c917ce26,ACC000105 -> ACC000051 -> ACC000145 -> ACC000188 -> ACC000028,4,84558040.37988834,1581.66,53461.44
dc82a5ef-9b98-4243-ab99-5eda45eed3f9,ACC000105 -> ACC000051 -> ACC000145 -> ACC000027 -> ACC000028,4,67000858.207111016,1818.14,36851.39
3b328edf-3250-4ad6-9b09-80283a190a63,ACC000105 -> ACC000051 -> ACC000072 -> ACC000032 -> ACC000028,4,48459598.1108624,1295.83,37396.71
e8bc3fc3-1f3e-420f-abc7-3d76fadd5d52,ACC000105 -> ACC000051 -> ACC000072 -> ACC000011 -> ACC000028,4,111105263.40532488,1764.03,62983.64
4f714936-2906-4940-9b09-a268446095c5,ACC000105 -> ACC000051 -> ACC000072 -> ACC000097 -> ACC000028,4,94746533.63358012,1637.47,57861.49
c5a2f084-3181-4f5f-a6d1-3cef67f43c66,ACC000105 -> ACC000051 -> ACC000072 -> ACC000133 -> ACC000028,4,71869562.5136519,286.13,251181.42
971361fa-e477-43b3-ab09-22aeb6271e62,ACC000105 -> ACC000051 -> ACC000145 -> ACC000199 -> ACC000118,4,110328470.04986486,1581.66,69754.68
f4337493-95f4-4673-8204-4c074511d494,ACC000105 -> ACC000051 -> ACC000145 -> ACC000097 -> ACC000025,4,77656466.49015087,1581.66,49097.95
29f24c2f-cc0e-4f70-bfab-7a24700b320c,ACC000105 -> ACC000051 -> ACC000145 -> ACC000199 -> ACC000038,4,108056536.93115047,1869.23,57807.96
